Text,Label,TextLength
اكبر خطا ترتكبه ان تعامل الناس باخلاقك انت مش باخلاقهم هما  .,1,61
الاسراف فى تناول القهوة يسبب الوفاه .,1,37
جروب الدفعه ليلة الامتحان دايما بتحس ان الناس اللى فيه بتذاكر منهج تاني . وبيكتبوا تعاويذ على الجروب.,1,101
النقاش هو الذى يؤدي الى نتيجه اما التعصب فيولد تعصب اكثر منه  .,1,63
وصلت الى مرحلة اني كرهت بلدى وانى فيها   .,0,42
عندما قرأت قصه اول شهيدة بالاسلام ام عمار عرفت كم نحن ضعاف   .,0,62
امي عندها صور لي تنهي مستقبلي.,1,30
دنيا ملهاش أمان صحيح   .,1,24
الرئيس الحنين رزق .,1,19
عند الاستيقاظ تكتئب لمهامك الجديدة .,1,36
مصر في المرتبه السابعه في ترتيب الدول الأكثر خطوره في العمل الصحفي انا ايه اللي دخلني اعلام.,0,92
سيناريو عبقري وخطة محكمة شفيق ينجح في نفس اليوم اللى مبارك يموت فيه . وشفيق يتجوز سوزان وجمال يورث الحكم.,0,105
العرب يسعون لتفسير الاحلام  الغرب يسعون لتحقيق الاحلام هذا هو الفرق بين العرب والغرب.,0,85
حقيقة غاب صدام فظهر الشيعة   .,0,30
بعد هذه الاغنية الرائعة لدعم مرسى وهذا الصوت المبهر . اؤكد لكم ان احمد شفيق رئيسا للجمهورية باكتساح.,0,100
القلق لا يعالج مريض ولا يوفق طالب . القلق يأكل من الراحه جزء و من العقل أجزاء .,1,79
رخمه اوى الاجازة دى .,1,21
الامكانيات مش بتساعد الواحد عنده افكار كتير والله .,1,51
انا بشوف بنات بتسوق موتسيكلات عادي يعني ومش بيعملوا حوادث .,1,59
احلي حاجة ممكن تعملها وانت سهران هي القراية يبقي انت كدا مش خسران .,1,67
والله فرحت اول لما الدكتور فكرنا اننا خلاص هنتخرج وان دي اخر سنة لينا .,1,71
اكثر شخص ظريف بالدنيا هو اللي لما توريه موبايلك الجديد . يعمل قال انه هيقع من ايده .,1,84
حقيقة لا يؤذينا بعمق  إلا من أحببناه بصدق  .,1,44
‏‏‏شعب ظريف بطبعه .,1,19
ليكن من أعظم أهدافك في الحياة أن ينادي الله جبريل عليه السلام فيقول له إني أحب فلان فأحبه  .,1,92
الجنة  وطن الاشياء الحقيقية.  الجنة  أمنيتنا الخالدة والشوق الذي يكبر فينا كل يوم .,1,83
قال احد الحكماء كن  مستمعا جيدا واياك والاستنتاج المبكر للاحداث .,1,65
لازم يا جماعه نحترم شوية حكومتنا واصحاب المناصب والقرارات .,1,59
سوريا ارض الثقافة والجمال والادب .,1,34
الفتاة التي قلت عنها قبيحه هي الان تنفق ساعات لوضع المكياج لكي يروها جميلة,1,74
لا فى ميزة التوصيل هنا مجانى .,1,30
بزهق كل شوية حد يعملى منشن .,0,28
حكمة محشش بس قويه الحب مثل البصل قشرة تحت قشرة ولا شيء في النهاية غير الدموع  .,0,79
المرض لا يؤلم المرضى فقط بل يؤلم من أحبوھم أيضا .,1,49
يا جماعه خاطبوا الناس على قدر عقولهم . علشان ترتاحوا بلاش كلام مع ناس مش بتفهم الا كلامها ورايها .,1,98
الإنسان هكذا يظلم نفسه ويشتكى من الظروف .,1,41
اتعلم ما هى الثقة الكبرى فى  قوله تعآلى ولسوف يعطيك ربك فترضى .  هو لن يعطيك فقط هو ايضا وعدك بالرضا .,0,102
الحاجات السريعه دى بتجيب السرطان .,0,34
تشبهيين أيام  أوقات الخريف و تمطرين أحيان . إحساسك زهور .,0,57
ده برنامج قليل الادب كله شتايم وايحاءات جنسية كتيرة .,0,53
مش قادر ابص في شاشة اللاب وانا عندي امتحان بعد بكرا . حاجة خرا  .,1,65
كلما هممت ببوح حزني . أخجلني قوله تعالى  وبشر الصابرين .,1,56
صباح صافى ونقى .,0,16
حقا ان أكثر الاشياء التي تؤثر عمقا فينا . هي تلك الاشياء التي لا نعرف كيف نحكي عنها  .,1,86
معجزة بناء فندق في ساعة بالصين .,0,32
بنت نزار قباني تقول لوالدها أنت أفسدت حياتي لأنني كلما قارنت رجلا بك سقط من عيني .,1,82
الطريق إلى الله طويل. ليس المهم أن تصل إلى آخره لكن المهم أن تموت عليه.,1,71
كفانا ذل يا عرب .مشهد اليوم ده عار على كل العرب .,1,49
انا بشرب شاى بلبن وباكل بسكوت وكحك .كل سنة وانتم طيبين.,1,55
زيادة  الصداقة تزرع الحياة أزهارا . و الحب يحولها بساتين فرح .,1,62
على الرغم ان يوم الجمعه يوم مبارك . بس مش بحس بيه بيضيع هوا .,1,61
فى مشكلة عند فى الرسائل الخاصة بى . محدش يزعل لو ماردتش عليه .,0,62
معلش اصلك ما كنتش فى مدرسة عسكرية ومتعرفش النظام كان ايه هناك .,1,63
استغفروا كثيرا قال الرسول صلى الله عليه وسلم   من لزم الاستغفار  .جعل الله له من كل ضيق مخرج . ومن كل هم فرجا ورزقه .,1,117
الألم ثلاث أنواع : ألم حبر و ألم جاف و ألم رصاص .,0,49
كم هو مؤلم أن تتعلق بشخص و تبكي قهرا من تصرفاته   .,1,51
لما اتخانقك معاك اعرف انى بحبك . بس لما اشتم تعرف انك غالى عليا .,0,65
